"","site_number","study_block","study_sample","study_number","reference","lat","lon","country","biome","land_use","land_use_specific","land_use_intensity","LUI","richness","amazon"
"53","1553_1","1553_1","1553_2",1553,"Need1993",-3.844905,-73.3943,"Peru","Tropical & Subtropical Moist Broadleaf Forests","primary vegetation","tropical rainforest","minimal","primary vegetation-minimal",3,1
"54","1553_2","1553_2","1553_1",1553,"Need1993",-3.762289,-73.2677,"Peru","Tropical & Subtropical Moist Broadleaf Forests","urban","urban centre","intense","urban-substantial",2,1
"55","157_1","157_1","157_2",157,"TaipeLagos2003",-23.41666667,-46.46666667,"Brazil","Tropical & Subtropical Moist Broadleaf Forests","primary vegetation","forest","minimal","primary vegetation-minimal",3,0
"56","157_2","157_2","157_3",157,"TaipeLagos2003",-23.41666667,-46.46666667,"Brazil","Tropical & Subtropical Moist Broadleaf Forests","secondary vegetation","forest","light","secondary vegetation-substantial",3,0
"57","157_3","157_3","157_2",157,"TaipeLagos2003",-23.41666667,-46.46666667,"Brazil","Tropical & Subtropical Moist Broadleaf Forests","primary vegetation","forest","intense","primary vegetation-substantial",3,0
"58","157_4","157_4","157_1",157,"TaipeLagos2003",-23.41666667,-46.46666667,"Brazil","Tropical & Subtropical Moist Broadleaf Forests","primary vegetation","forest","intense","primary vegetation-substantial",2,0
"59","1582_1","1582_1","1582_1",1582,"daSilva2018",-8.123626,-35.09752,"Brazil","Tropical & Subtropical Moist Broadleaf Forests","urban","urban","intense","urban-substantial",1,0
"60","1582_1","1582_1","1582_2",1582,"daSilva2018",-8.123626,-35.09752,"Brazil","Tropical & Subtropical Moist Broadleaf Forests","urban","urban","intense","urban-substantial",1,0
"61","1582_1","1582_1","1582_4",1582,"daSilva2018",-8.123626,-35.09752,"Brazil","Tropical & Subtropical Moist Broadleaf Forests","urban","urban","intense","urban-substantial",1,0
"62","1582_1","1582_1","1582_5",1582,"daSilva2018",-8.123626,-35.09752,"Brazil","Tropical & Subtropical Moist Broadleaf Forests","urban","urban","intense","urban-substantial",1,0
"63","1582_2","1582_2","1582_2",1582,"daSilva2018",-8.126288,-35.094066,"Brazil","Tropical & Subtropical Moist Broadleaf Forests","primary vegetation","Atlantic Forest ecological reserve","light","primary vegetation-substantial",1,0
"64","1582_2","1582_2","1582_4",1582,"daSilva2018",-8.126288,-35.094066,"Brazil","Tropical & Subtropical Moist Broadleaf Forests","primary vegetation","Atlantic Forest ecological reserve","light","primary vegetation-substantial",1,0
"65","1582_2","1582_2","1582_5",1582,"daSilva2018",-8.126288,-35.094066,"Brazil","Tropical & Subtropical Moist Broadleaf Forests","primary vegetation","Atlantic Forest ecological reserve","light","primary vegetation-substantial",1,0
"66","1582_3","1582_3","1582_1",1582,"daSilva2018",-8.140009,-35.08445,"Brazil","Tropical & Subtropical Moist Broadleaf Forests","primary vegetation","Atlantic Forest ecological reserve","minimal","primary vegetation-minimal",2,0
"67","1582_3","1582_3","1582_2",1582,"daSilva2018",-8.140009,-35.08445,"Brazil","Tropical & Subtropical Moist Broadleaf Forests","primary vegetation","Atlantic Forest ecological reserve","minimal","primary vegetation-minimal",1,0
"68","1582_3","1582_3","1582_4",1582,"daSilva2018",-8.140009,-35.08445,"Brazil","Tropical & Subtropical Moist Broadleaf Forests","primary vegetation","Atlantic Forest ecological reserve","minimal","primary vegetation-minimal",1,0
"69","1582_3","1582_3","1582_5",1582,"daSilva2018",-8.140009,-35.08445,"Brazil","Tropical & Subtropical Moist Broadleaf Forests","primary vegetation","Atlantic Forest ecological reserve","minimal","primary vegetation-minimal",1,0
"70","1635_1","1635_1","1635_2",1635,"Ferreira2017",-3.096380556,-59.98988333,"Brazil","Tropical & Subtropical Moist Broadleaf Forests","primary vegetation","broad primary vegetation cover and ornamental plants","light","primary vegetation-substantial",2,1
"71","1635_2","1635_2","1635_2",1635,"Ferreira2017",-3.096380556,-60.00655,"Brazil","Tropical & Subtropical Moist Broadleaf Forests","urban","urban","intense","urban-substantial",2,1
"72","1635_3","1635_3","1635_2",1635,"Ferreira2017",0.863047222,-60.42321667,"Brazil","Tropical & Subtropical Moist Broadleaf Forests","primary vegetation","broad primary vegetation cover and ornamental plants","light","primary vegetation-substantial",2,1
"73","1635_4","1635_4","1635_2",1635,"Ferreira2017",0.863047222,-60.42321667,"Brazil","Tropical & Subtropical Moist Broadleaf Forests","secondary vegetation","secondary vegetation fragments","light","secondary vegetation-substantial",1,1
"74","1643_1","1643_1","1643_3",1643,"ViverosSantos2018",19.01666667,-98.08333333,"Mexico","Tropical & Subtropical Coniferous Forests","primary vegetation","temperate forest","light","primary vegetation-substantial",3,0
"75","1643_2","1643_1","1643_1",1643,"ViverosSantos2018",19.01666667,-98.08333333,"Mexico","Tropical & Subtropical Coniferous Forests","urban","urban","intense","urban-substantial",1,0
"76","1643_2","1643_1","1643_2",1643,"ViverosSantos2018",19.01666667,-98.08333333,"Mexico","Tropical & Subtropical Coniferous Forests","urban","urban","intense","urban-substantial",1,0
"77","1643_2","1643_1","1643_3",1643,"ViverosSantos2018",19.01666667,-98.08333333,"Mexico","Tropical & Subtropical Coniferous Forests","urban","urban","intense","urban-substantial",2,0
"78","1660_1","1660_1","1660_1",1660,"Stein2013",-27.37885833,-65.74167222,"Argentina","Tropical & Subtropical Moist Broadleaf Forests","primary vegetation","primitive piedmont forest","minimal","primary vegetation-minimal",1,0
"79","1660_1","1660_1","1660_2",1660,"Stein2013",-27.37885833,-65.74167222,"Argentina","Tropical & Subtropical Moist Broadleaf Forests","primary vegetation","primitive piedmont forest","minimal","primary vegetation-minimal",1,0
"80","1660_2","1660_2","1660_1",1660,"Stein2013",-27.345525,-65.65833889,"Argentina","Tropical & Subtropical Grasslands, Savannas & Shrublands","managed","modified forest","intense","managed-substantial",1,0
"81","169_1","169_1","169_1",169,"Roberts1984",-18.211048,-58.167286,"Bolivia","Tropical & Subtropical Dry Broadleaf Forests","primary vegetation","small village","light","primary vegetation-substantial",1,0
"82","169_2","169_2","169_1",169,"Roberts1984",-18.211048,-58.167286,"Bolivia","Tropical & Subtropical Dry Broadleaf Forests","primary vegetation","gallery forest","minimal","primary vegetation-minimal",3,0
"83","1701_1","1701_1","1707_1",1707,"Silva2018",-22.45538889,-42.30263889,"Brazil","Tropical & Subtropical Moist Broadleaf Forests","secondary vegetation","secondary Atlantic forest","light","secondary vegetation-substantial",1,0
"84","1701_2","1701_1","1707_1",1707,"Silva2018",-22.45538889,-42.30263889,"Brazil","Tropical & Subtropical Moist Broadleaf Forests","secondary vegetation","secondary Atlantic forest","intense","secondary vegetation-substantial",1,0
"85","1701_3","1701_1","1707_1",1707,"Silva2018",-22.45538889,-42.30263889,"Brazil","Tropical & Subtropical Moist Broadleaf Forests","secondary vegetation","secondary Atlantic forest","light","secondary vegetation-substantial",1,0
"86","1701_5","1701_1","1707_1",1707,"Silva2018",-22.45538889,-42.28597222,"Brazil","Tropical & Subtropical Moist Broadleaf Forests","primary vegetation","primary Atlantic forest","light","primary vegetation-substantial",2,0
"87","1716_1","1716_1","1716_1",1716,"dasVirgens2018",-19.46694444,-40.07166667,"Brazil","Tropical & Subtropical Moist Broadleaf Forests","primary vegetation","atlantic forest","minimal","primary vegetation-minimal",3,0
"88","1716_2","1716_1","1716_1",1716,"dasVirgens2018",-19.46694444,-40.07166667,"Brazil","Tropical & Subtropical Moist Broadleaf Forests","managed","cocoa plantation","intense","managed-substantial",2,0
"89","1739_1","1739_1","1739_1",1739,"Mueller2012",-25.38777778,-49.98277778,"Brazil","Tropical & Subtropical Moist Broadleaf Forests","primary vegetation","atlantic forest","minimal","primary vegetation-minimal",2,0
"90","1739_2","1739_1","1739_1",1739,"Mueller2012",-25.38777778,-49.98277778,"Brazil","Tropical & Subtropical Moist Broadleaf Forests","primary vegetation","peridomicile","light","primary vegetation-substantial",2,0
"91","1762_1","1762_1","1762_1",1762,"Abella2018",19.45416667,-97.00777778,"Mexico","Tropical & Subtropical Moist Broadleaf Forests","primary vegetation","montane cloud forest","minimal","primary vegetation-minimal",1,0
"92","1762_1","1762_1","1762_2",1762,"Abella2018",19.45416667,-97.00777778,"Mexico","Tropical & Subtropical Moist Broadleaf Forests","primary vegetation","montane cloud forest","minimal","primary vegetation-minimal",1,0
"93","1762_1","1762_1","1762_3",1762,"Abella2018",19.45416667,-97.00777778,"Mexico","Tropical & Subtropical Moist Broadleaf Forests","primary vegetation","montane cloud forest","minimal","primary vegetation-minimal",1,0
"94","1762_2","1762_2","1762_1",1762,"Abella2018",19.55416667,-96.94111111,"Mexico","Tropical & Subtropical Moist Broadleaf Forests","secondary vegetation","peri-urban forest","light","secondary vegetation-substantial",1,0
"95","1762_2","1762_2","1762_2",1762,"Abella2018",19.55416667,-96.94111111,"Mexico","Tropical & Subtropical Moist Broadleaf Forests","secondary vegetation","peri-urban forest","light","secondary vegetation-substantial",1,0
"96","1762_2","1762_2","1762_3",1762,"Abella2018",19.55416667,-96.94111111,"Mexico","Tropical & Subtropical Moist Broadleaf Forests","secondary vegetation","peri-urban forest","light","secondary vegetation-substantial",1,0
"97","1762_3","1762_2","1762_1",1762,"Abella2018",19.50416667,-96.94111111,"Mexico","Tropical & Subtropical Moist Broadleaf Forests","urban","urban forest","intense","urban-substantial",1,0
"98","1762_3","1762_2","1762_2",1762,"Abella2018",19.50416667,-96.94111111,"Mexico","Tropical & Subtropical Moist Broadleaf Forests","urban","urban forest","intense","urban-substantial",1,0
"99","1762_3","1762_2","1762_3",1762,"Abella2018",19.50416667,-96.94111111,"Mexico","Tropical & Subtropical Moist Broadleaf Forests","urban","urban forest","intense","urban-substantial",1,0
"100","1762_4","1762_1","1762_1",1762,"Abella2018",19.45416667,-96.99111111,"Mexico","Tropical & Subtropical Moist Broadleaf Forests","managed","coffee plantation","intense","managed-substantial",1,0
"101","1762_4","1762_1","1762_2",1762,"Abella2018",19.45416667,-96.99111111,"Mexico","Tropical & Subtropical Moist Broadleaf Forests","managed","coffee plantation","intense","managed-substantial",1,0
"102","1762_4","1762_1","1762_3",1762,"Abella2018",19.45416667,-96.99111111,"Mexico","Tropical & Subtropical Moist Broadleaf Forests","managed","coffee plantation","intense","managed-substantial",1,0
"103","1762_5","1762_2","1762_1",1762,"Abella2018",19.52083333,-96.99111111,"Mexico","Tropical & Subtropical Moist Broadleaf Forests","managed","cattle field","intense","managed-substantial",1,0
"104","1762_5","1762_2","1762_2",1762,"Abella2018",19.52083333,-96.99111111,"Mexico","Tropical & Subtropical Moist Broadleaf Forests","managed","cattle field","intense","managed-substantial",1,0
"105","1762_5","1762_2","1762_3",1762,"Abella2018",19.52083333,-96.99111111,"Mexico","Tropical & Subtropical Moist Broadleaf Forests","managed","cattle field","intense","managed-substantial",1,0
"106","1773_1","1773_1","1773_2",1773,"Forattini1995",-24.715246,-47.883378,"Brazil","Tropical & Subtropical Moist Broadleaf Forests","primary vegetation","remnant forest","minimal","primary vegetation-minimal",7,0
"107","1773_2","1773_1","1773_2",1773,"Forattini1995",-24.715246,-47.883378,"Brazil","Tropical & Subtropical Moist Broadleaf Forests","managed","rice paddy","intense","managed-substantial",4,0
"108","1773_3","1773_2","1773_1",1773,"Forattini1995",-24.715246,-47.883378,"Brazil","Tropical & Subtropical Moist Broadleaf Forests","secondary vegetation","dwelling in agricultural area","intense","secondary vegetation-substantial",3,0
"109","1773_4","1773_3","1773_2",1773,"Forattini1995",-24.715246,-47.883378,"Brazil","Tropical & Subtropical Moist Broadleaf Forests","secondary vegetation","partially disturbed secondary vegetation","light","secondary vegetation-substantial",9,0
"110","1814_1","1814_1","1814_1",1814,"Abella2015",19.45416667,-97.00777778,"Mexico","Tropical & Subtropical Moist Broadleaf Forests","primary vegetation","cloud forest","minimal","primary vegetation-minimal",1,0
"111","1814_1","1814_1","1814_2",1814,"Abella2015",19.45416667,-97.00777778,"Mexico","Tropical & Subtropical Moist Broadleaf Forests","primary vegetation","cloud forest","minimal","primary vegetation-minimal",1,0
"112","1814_1","1814_1","1814_3",1814,"Abella2015",19.45416667,-97.00777778,"Mexico","Tropical & Subtropical Moist Broadleaf Forests","primary vegetation","cloud forest","minimal","primary vegetation-minimal",1,0
"113","1814_2","1814_2","1814_1",1814,"Abella2015",19.50416667,-96.94111111,"Mexico","Tropical & Subtropical Moist Broadleaf Forests","urban","peri-urban forest","light","urban-substantial",1,0
"114","1814_2","1814_2","1814_2",1814,"Abella2015",19.50416667,-96.94111111,"Mexico","Tropical & Subtropical Moist Broadleaf Forests","urban","peri-urban forest","light","urban-substantial",1,0
"115","1814_2","1814_2","1814_3",1814,"Abella2015",19.50416667,-96.94111111,"Mexico","Tropical & Subtropical Moist Broadleaf Forests","urban","peri-urban forest","light","urban-substantial",1,0
"116","1814_3","1814_3","1814_1",1814,"Abella2015",19.55416667,-96.94111111,"Mexico","Tropical & Subtropical Moist Broadleaf Forests","urban","urban forest","intense","urban-substantial",1,0
"117","1814_3","1814_3","1814_2",1814,"Abella2015",19.55416667,-96.94111111,"Mexico","Tropical & Subtropical Moist Broadleaf Forests","urban","urban forest","intense","urban-substantial",1,0
"118","1814_3","1814_3","1814_3",1814,"Abella2015",19.55416667,-96.94111111,"Mexico","Tropical & Subtropical Moist Broadleaf Forests","urban","urban forest","intense","urban-substantial",1,0
"119","1814_4","1814_4","1814_1",1814,"Abella2015",19.45416667,-96.99111111,"Mexico","Tropical & Subtropical Moist Broadleaf Forests","managed","coffee plantation","intense","managed-substantial",1,0
"120","1814_4","1814_4","1814_2",1814,"Abella2015",19.45416667,-96.99111111,"Mexico","Tropical & Subtropical Moist Broadleaf Forests","managed","coffee plantation","intense","managed-substantial",1,0
"121","1814_4","1814_4","1814_3",1814,"Abella2015",19.45416667,-96.99111111,"Mexico","Tropical & Subtropical Moist Broadleaf Forests","managed","coffee plantation","intense","managed-substantial",1,0
"122","1814_5","1814_5","1814_1",1814,"Abella2015",19.52083333,-96.99111111,"Mexico","Tropical & Subtropical Moist Broadleaf Forests","managed","cattle field","intense","managed-substantial",1,0
"123","1814_5","1814_5","1814_2",1814,"Abella2015",19.52083333,-96.99111111,"Mexico","Tropical & Subtropical Moist Broadleaf Forests","managed","cattle field","intense","managed-substantial",1,0
"124","1814_5","1814_5","1814_3",1814,"Abella2015",19.52083333,-96.99111111,"Mexico","Tropical & Subtropical Moist Broadleaf Forests","managed","cattle field","intense","managed-substantial",1,0
"125","234_1","234_1","234_1",234,"Guimaraes1989",-22.76666667,-43.68333333,"Brazil","Tropical & Subtropical Moist Broadleaf Forests","primary vegetation","Atlantic forest","light","primary vegetation-substantial",3,0
"126","234_1","234_1","234_2",234,"Guimaraes1989",-22.76666667,-43.68333333,"Brazil","Tropical & Subtropical Moist Broadleaf Forests","primary vegetation","Atlantic forest","light","primary vegetation-substantial",3,0
"127","234_2","234_1","234_1",234,"Guimaraes1989",-22.76666667,-43.68333333,"Brazil","Tropical & Subtropical Moist Broadleaf Forests","primary vegetation","Atlantic forest","light","primary vegetation-substantial",3,0
"128","234_2","234_1","234_2",234,"Guimaraes1989",-22.76666667,-43.68333333,"Brazil","Tropical & Subtropical Moist Broadleaf Forests","primary vegetation","Atlantic forest","light","primary vegetation-substantial",4,0
"129","234_3","234_1","234_2",234,"Guimaraes1989",-22.76666667,-43.68333333,"Brazil","Tropical & Subtropical Moist Broadleaf Forests","primary vegetation","Atlantic forest","minimal","primary vegetation-minimal",4,0
"130","26_1","26_1","26_50",26,"Hendy2020",-3.09999,-60.04775,"Brazil","Tropical & Subtropical Moist Broadleaf Forests","urban","forest_edge","intense","urban-substantial",2,1
"131","26_101","26_3","26_28",26,"Hendy2020",-3.10356,-59.96641,"Brazil","Tropical & Subtropical Moist Broadleaf Forests","primary vegetation","forest_interior","minimal","primary vegetation-minimal",1,1
"132","26_102","26_3","26_70",26,"Hendy2020",-3.1038,-59.97241,"Brazil","Tropical & Subtropical Moist Broadleaf Forests","primary vegetation","forest_interior","minimal","primary vegetation-minimal",1,1
"133","26_104","26_3","26_53",26,"Hendy2020",-3.08812,-59.96273,"Brazil","Tropical & Subtropical Moist Broadleaf Forests","urban","forest_edge","intense","urban-substantial",1,1
"134","26_104","26_3","26_58",26,"Hendy2020",-3.08809,-59.96262,"Brazil","Tropical & Subtropical Moist Broadleaf Forests","urban","forest_edge","intense","urban-substantial",1,1
"135","26_106","26_3","26_18",26,"Hendy2020",-3.10636,-59.95853,"Brazil","Tropical & Subtropical Moist Broadleaf Forests","urban","forest_edge","intense","urban-substantial",1,1
"136","26_107","26_3","26_68",26,"Hendy2020",-3.11172,-59.96767,"Brazil","Tropical & Subtropical Moist Broadleaf Forests","urban","forest_edge","intense","urban-substantial",1,1
"137","26_109","26_3","26_16",26,"Hendy2020",-3.10531,-59.96828,"Brazil","Tropical & Subtropical Moist Broadleaf Forests","urban","forest_edge","intense","urban-substantial",1,1
"138","26_11","26_1","26_34",26,"Hendy2020",-3.10189,-60.09555,"Brazil","Tropical & Subtropical Moist Broadleaf Forests","primary vegetation","forest_interior","minimal","primary vegetation-minimal",1,1
